Title;Siebel Billing Account;Item Type;Path
SA Mercentile;THE SOUTH AFRICAN MERCANTILE CORPORATION (PTY) LTD;Item;mea/is/cops/Lists/Clients
SABS;SOUTH AFRICAN BUREAU OF STANDARDS;Item;mea/is/cops/Lists/Clients
SALGA;SOUTH AFRICAN LOCAL GOVERNMENT - SALGA;Item;mea/is/cops/Lists/Clients
SAMSA;SOUTH AFRICAN MARITIME SAFETY AUTHORITY;Item;mea/is/cops/Lists/Clients
Samsung;SAMSUNG SDS PTY LTD;Item;mea/is/cops/Lists/Clients
Sandvik IT Services;SANDVIK IT SERVICES AB;Item;mea/is/cops/Lists/Clients
Sanlam;TO BE ACQUIRED.;Item;mea/is/cops/Lists/Clients
Santam;SANTAM LIMITED;Item;mea/is/cops/Lists/Clients
SARS;SOUTH AFRICAN REVENUE SERVICE;Item;mea/is/cops/Lists/Clients
Sars - Tower 2 Data Carrier Sevices;SOUTH AFRICAN REVENUE SERVICE - TOWER 2 DATA CARRIER SERVICES;Item;mea/is/cops/Lists/Clients
Sascoc ;JANUS-MAIL.COM T/A  JANUS IT;Item;mea/is/cops/Lists/Clients
Sasfin;SASFIN BANK LTD;Item;mea/is/cops/Lists/Clients
Seesa;SEESA PTY LTD;Item;mea/is/cops/Lists/Clients
Sensus;JANUS-MAIL.COM T/A  JANUS IT;Item;mea/is/cops/Lists/Clients
SERVEST;SERVEST;Item;mea/is/cops/Lists/Clients
Services SETA;SERVICES SETA;Item;mea/is/cops/Lists/Clients
Seta;SERVICES SETA;Item;mea/is/cops/Lists/Clients
Sharpiro Shaik Defries & Associates;SHAPIRO SHAIK DEFRIES & ASSOCIATES;Item;mea/is/cops/Lists/Clients
SI Futures;SI FUTURES (PTY) LTD;Item;mea/is/cops/Lists/Clients
Sivest;SIVEST SA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Smith International;SMITH INTERNATIONAL;Item;mea/is/cops/Lists/Clients
Sondor Industries;SONDOR INDUSTRIES (PTY) LTD;Item;mea/is/cops/Lists/Clients
South African Local Government - SALGA;SOUTH AFRICAN LOCAL GOVERNMENT - SALGA;Item;mea/is/cops/Lists/Clients
South African Post Office;SOUTH AFRICAN POST OFFICE;Item;mea/is/cops/Lists/Clients
Southern Sun Hotels;SOUTHERN SUN HOTEL INTERESTS;Item;mea/is/cops/Lists/Clients
Spartan Technology Rentals;SPARTAN TECHNOLOGY RENTALS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Speakup;SPEAKUP COMMUNICATIONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Speer Management Service;SPEER MANAGEMENT SERVICE PTY;Item;mea/is/cops/Lists/Clients
Standard Chartered;STANDARD CHARTERED;Item;mea/is/cops/Lists/Clients
State Bank Of India;STATE BANK OF INDIA -SOUTH AFRICA OPERATIONS;Item;mea/is/cops/Lists/Clients
Steiner Hygiene;STEINER HYGIENE PTY LTD;Item;mea/is/cops/Lists/Clients
Steinhoff Africa Group Services;STEINHOFF AFRICA GROUP SERVICES;Item;mea/is/cops/Lists/Clients
Subaru Southern Africa;SUBARU SOUTHERN AFRICA;Item;mea/is/cops/Lists/Clients
Sun International;SUN INTERNATIONAL MANAGEMENT;Item;mea/is/cops/Lists/Clients
Sunninghill Radiology;SUNNINGHILL RADIOLOGY CORPORATED;Item;mea/is/cops/Lists/Clients
Surgitech;ICONNECTSA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Symo Storage;SYMO STORAGE A DIVISION OF CAPITAL AFRICA STEEL (PTY) LTD;Item;mea/is/cops/Lists/Clients
TAG Global;TRANSTECH AFRICA GLOBAL TELECOMS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Talksure Trading;TALKSURE TRADING (PTY) LTD;Item;mea/is/cops/Lists/Clients
Team Information Technology;TEAM INFORMATION TECHNOLOGY CC;Item;mea/is/cops/Lists/Clients
Tetra Pak;TETRA PAK;Item;mea/is/cops/Lists/Clients
Thales;THALES SOUTH AFRICA (PTY)LTD;Item;mea/is/cops/Lists/Clients
The Church of Jesus Christ of Latter Saints;THE CHURCH OF JESUS CHRIST OF LATTER SAINTS IN SOUTH AFRICA;Item;mea/is/cops/Lists/Clients
The Forum;THE FORUM (PTY) LTD;Item;mea/is/cops/Lists/Clients
The South African Mercantile Corporation;THE SOUTH AFRICAN MERCANTILE CORPORATION (PTY) LTD;Item;mea/is/cops/Lists/Clients
The Workforce Group;THE WORKFORCE GROUP (PTY) LTD;Item;mea/is/cops/Lists/Clients
Thebe Stockbroking;THEBE STOCKBROKING (PTY) LTD;Item;mea/is/cops/Lists/Clients
TILESPACE BATHROOM & HOME;TILESPACE BATHROOM & HOME T/A SILVERPINNACLE TRADING 6 (PTY) LTD;Item;mea/is/cops/Lists/Clients
Toll Global Forwarding;TOLL GLOBAL FORWARDING (SA) (PTY) LTD;Item;mea/is/cops/Lists/Clients
Toyota Tsusho Africa;TOYOTA TSUSHO AFRICA PTY LTD;Item;mea/is/cops/Lists/Clients
TP South Africa Trading;TP SOUTH AFRICA TRADING (PTY) LTD;Item;mea/is/cops/Lists/Clients
Tunleys Mail & Print;Turrito Networks;Item;mea/is/cops/Lists/Clients
UD Trucks Southern Africa;UD TRUCKS SOUTHERN AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Ultimate Linux Solutions;ULTIMATE LINUX SOLUTIONS;Item;mea/is/cops/Lists/Clients
UN Common House;UN COMMON HOUSE;Item;mea/is/cops/Lists/Clients
United Furniture Outlets;UNITED FURNITURE OUTLETS;Item;mea/is/cops/Lists/Clients
Unitrans;GREYHOUND A DIVISION OF UNITRANS PASSENGER (PTY) LTD SERVICES;Item;mea/is/cops/Lists/Clients
Unitrans Automotive;UNITRANS AUTOMOTIVE (PTY) LTD;Item;mea/is/cops/Lists/Clients
Unitrans Supply Chain Solutions;UNITRANS SUPPLY CHAIN SOLUTIONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
University of Johannesburg;UNIVERSITY OF JOHANNESBURG;Item;mea/is/cops/Lists/Clients
University of the Witwatersrand;UNIVERSITY OF THE WITWATERSRAND;Item;mea/is/cops/Lists/Clients
Usaasa;UNIVERSAL SERVICE AND ACCESS AGENCY OF SA;Item;mea/is/cops/Lists/Clients
uThungulu Municipality;UTHUNGULU DISTRICT MUNICIPALITY;Item;mea/is/cops/Lists/Clients
V and A Waterfront Holdings;V AND A WATERFRONT HOLDINGS (PTY) LTD;Item;mea/is/cops/Lists/Clients
V&A Waterfront;VICTORIA AND ALFRED WATERFRONT (PTY) LTD;Item;mea/is/cops/Lists/Clients
Vaioni;VAIONI GROUP LTD;Item;mea/is/cops/Lists/Clients
Van De Venter Mojapelo;VAN DE VENTER MOJAPELO;Item;mea/is/cops/Lists/Clients
Vector Logistics;VECTOR LOGISTICS;Item;mea/is/cops/Lists/Clients
Velociti;VELOCITI (PTY) LTD;Item;mea/is/cops/Lists/Clients
VOX Telecommunications;VOX TELECOMMUNICATIONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
VVM;VAN DE VENTER MOJAPELO;Item;mea/is/cops/Lists/Clients
Waco Africa;WACO AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Waltons;WALTONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Wap South Africa;WAP SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Wasteman Holdings;WASTEMAN HOLDINGS;Item;mea/is/cops/Lists/Clients
Wier Minerals Africa;WEIR MINERALS AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Willis RE;TO BE ACQUIRED.;Item;mea/is/cops/Lists/Clients
Willowton Group ;DH BROTHERS INDUSTRIES (PTY) LTD T/A WILLOWTON GROUP;Item;mea/is/cops/Lists/Clients
Woolworths;WOOLWORTHS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Woolworths Financial Services;WOOLWORTHS FINANCIAL SERVICES (PTY) LTD;Item;mea/is/cops/Lists/Clients
Workforce;THE WORKFORCE GROUP (PTY) LTD;Item;mea/is/cops/Lists/Clients
WRHI;WRHI A DIVISION OF WITS HEALTH CONSORTIUM (PTY) LTD;Item;mea/is/cops/Lists/Clients
XP Technologies;XP TECHNOLOGIES;Item;mea/is/cops/Lists/Clients
Xpand IT;XPAND IT (PTY)LTD;Item;mea/is/cops/Lists/Clients
YKK;YKK SOUTHERN AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Yum Restaurants;YUM RESTAURANTS INTERNATIONAL (PTY) LTD;Item;mea/is/cops/Lists/Clients
Zando;JADE E-SERVICES SA (PTY) LTD T/A ZANDO;Item;mea/is/cops/Lists/Clients
